id,mode,siglum,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
chant_004755,1,A-Wn 1799**,,,,,,,,,69.0,69.0,67.0,65.0,67,69,67,62.0,62.0,62.0,60.0,65.0,67.0,65.0,67.0,69.0,69.0,67.0,67.0,65,67,69
chant_004991,1,CH-E 611,,,,,,,,69.0,69.0,69.0,67.0,65.0,67,69,67,62.0,62.0,65.0,62.0,62.0,60.0,65.0,67.0,65.0,69.0,69.0,69.0,69,72,69
chant_005023,1,F-Pn lat. 12044,,,,,,,69.0,69.0,67.0,65.0,67.0,67.0,65,64,62,62.0,62.0,65.0,62.0,62.0,60.0,65.0,67.0,65.0,67.0,69.0,69.0,65,67,69
chant_005053,1,A-Wn 1799**,,,,,,,,,69.0,69.0,67.0,65.0,67,69,67,62.0,62.0,62.0,65.0,62.0,62.0,60.0,65.0,67.0,65.0,69.0,69.0,69,69,72
chant_005061,1,CH-E 611,,,,,,,,69.0,69.0,69.0,67.0,65.0,67,69,67,62.0,62.0,65.0,62.0,62.0,60.0,65.0,67.0,65.0,69.0,69.0,69.0,69,72,69
chant_005121,1,I-Ac 693,,,,,,,,69.0,69.0,67.0,65.0,67.0,69,67,65,62.0,62.0,65.0,62.0,62.0,60.0,65.0,67.0,65.0,67.0,69.0,69.0,67,65,67
chant_005126,1,F-Pn lat. 12044,,,,,,,69.0,69.0,67.0,65.0,67.0,67.0,65,64,62,62.0,60.0,62.0,64.0,65.0,67.0,65.0,64.0,62.0,65.0,62.0,60.0,65,67,69
chant_005139,1,CH-Fco 2,,,,,,,,69.0,69.0,67.0,65.0,67.0,69,67,65,62.0,62.0,65.0,62.0,62.0,60.0,65.0,67.0,65.0,67.0,69.0,69.0,67,65,67
chant_005287,1,F-Pn lat. 12044,,,,,,,,,69.0,69.0,67.0,65.0,67,69,67,62.0,60.0,65.0,67.0,65.0,67.0,69.0,69.0,67.0,67.0,65.0,67.0,69,67,65
chant_005289,1,A-Wn 1799**,,,,,,,,,69.0,69.0,67.0,65.0,67,69,67,62.0,60.0,65.0,67.0,65.0,67.0,69.0,69.0,65.0,67.0,69.0,67.0,65,67,69
chant_005290,1,CDN-Hsmu M2149.L4,,,,,,,,,69.0,69.0,67.0,65.0,67,69,67,62.0,60.0,65.0,67.0,65.0,67.0,69.0,69.0,65.0,67.0,69.0,67.0,65,67,69
chant_005298,1,CH-E 611,,,,,,,,,69.0,69.0,67.0,65.0,67,69,67,62.0,60.0,65.0,67.0,65.0,69.0,69.0,67.0,65.0,67.0,69.0,67.0,65,67,69
chant_005354,1,CH-E 611,,,,,69.0,69.0,69.0,67.0,65.0,67.0,69.0,67.0,65,64,62,60.0,60.0,62.0,62.0,64.0,65.0,62.0,62.0,60.0,62.0,65.0,62.0,65,62,62
chant_005393,4,F-Pn lat. 12044,,,,,,,69.0,69.0,67.0,65.0,67.0,67.0,65,64,62,60.0,62.0,65.0,64.0,62.0,65.0,62.0,60.0,65.0,67.0,69.0,69.0,67,65,67
chant_005448,3,A-Wn 1799**,,,,,,,,,72.0,72.0,72.0,69.0,72,71,69,67.0,67.0,72.0,69.0,67.0,69.0,72.0,69.0,72.0,72.0,72.0,71.0,72,74,74
chant_005517,8,F-Pn lat. 12044,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,67.0,65.0,62.0,65.0,67.0,69.0,69.0,67.0,65.0,67.0,67.0,65,69,67
chant_005522,8,CH-Fco 2,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,65.0,62.0,65.0,67.0,69.0,67.0,67.0,69.0,67.0,67.0,65.0,69,71,67
chant_005570,3,CH-E 611,,,,,,,,,,72.0,72.0,69.0,72,69,67,64.0,65.0,62.0,67.0,69.0,67.0,69.0,72.0,72.0,72.0,72.0,74.0,72,72,71
chant_005575,8,F-Pn lat. 15181,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,62.0,65.0,67.0,69.0,67.0,65.0,67.0,69.0,69.0,69.0,69.0,67,69,67
chant_005577,8,F-Pn lat. 12044,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,62.0,65.0,67.0,69.0,67.0,65.0,67.0,69.0,69.0,69.0,69.0,67,69,67
chant_005659,3,CH-E 611,,,,,,,,72.0,72.0,72.0,71.0,69.0,72,69,67,64.0,62.0,67.0,69.0,72.0,72.0,71.0,69.0,71.0,72.0,69.0,67.0,69,69,72
chant_005819,3,CDN-Hsmu M2149.L4,,,,,,,,,72.0,72.0,72.0,69.0,72,71,69,67.0,67.0,69.0,72.0,72.0,69.0,72.0,71.0,67.0,69.0,69.0,69.0,71,69,67
chant_005856,3,F-Pn lat. 15181,,,,,,,,,,72.0,72.0,72.0,69,72,71,67.0,67.0,67.0,72.0,72.0,69.0,72.0,71.0,67.0,69.0,69.0,69.0,71,69,67
chant_005866,3,CH-Fco 2,,,,,,,,,72.0,72.0,72.0,69.0,72,71,69,67.0,67.0,67.0,69.0,72.0,69.0,72.0,71.0,67.0,69.0,69.0,69.0,71,69,67
chant_005869,3,D-KNd 1161,,,,,,,,,72.0,72.0,72.0,69.0,72,71,69,67.0,67.0,67.0,72.0,72.0,69.0,72.0,71.0,67.0,69.0,69.0,69.0,71,69,67
chant_005870,3,A-Wn 1799**,,,,,,,,,72.0,72.0,72.0,69.0,72,71,69,67.0,67.0,67.0,72.0,72.0,69.0,72.0,71.0,67.0,69.0,69.0,69.0,71,69,67
chant_005871,3,CH-E 611,,,,,,,,,,72.0,72.0,72.0,69,72,71,67.0,67.0,67.0,71.0,72.0,69.0,72.0,72.0,67.0,69.0,69.0,69.0,72,69,67
chant_005875,3,F-Pn lat. 12044,,,,,,,,,,72.0,72.0,72.0,69,72,71,67.0,67.0,69.0,71.0,72.0,72.0,69.0,72.0,71.0,69.0,69.0,69.0,69,71,69
chant_005983,3,NL-Uu 406,,,,,,,69.0,69.0,69.0,67.0,67.0,65.0,67,69,67,62.0,60.0,67.0,69.0,72.0,72.0,69.0,69.0,69.0,72.0,72.0,69.0,67,69,69
chant_006108,7,A-Wn 1799**,,,,,,,,,74.0,74.0,76.0,74.0,72,71,69,67.0,72.0,71.0,72.0,74.0,69.0,71.0,72.0,71.0,69.0,67.0,69.0,69,67,72
chant_006111,7,CH-Fco 2,,,,,,,,,74.0,74.0,76.0,74.0,72,71,69,67.0,72.0,71.0,72.0,74.0,69.0,71.0,72.0,71.0,69.0,67.0,69.0,69,67,72
chant_006115,7,CH-E 611,,,,,,,,,74.0,74.0,76.0,74.0,72,71,69,67.0,67.0,72.0,71.0,74.0,69.0,71.0,72.0,71.0,69.0,67.0,69.0,69,67,72
chant_006545,8,A-Wn 1799**,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,67.0,72.0,69.0,67.0,65.0,67.0,69.0,67.0,65.0,67.0,67.0,71,72,74
chant_006548,8,D-KNd 1161,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,67.0,72.0,69.0,67.0,65.0,67.0,69.0,67.0,65.0,67.0,67.0,71,72,71
chant_006551,8,CDN-Hsmu M2149.L4,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,67.0,72.0,69.0,67.0,65.0,67.0,69.0,67.0,65.0,67.0,67.0,71,72,74
chant_006767,8,F-Pn lat. 12044,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,67.0,65.0,65.0,62.0,65.0,67.0,67.0,69.0,67.0,67.0,65.0,67,69,67
chant_006771,1,CH-E 611,,,,,,,,69.0,69.0,69.0,67.0,65.0,67,69,67,62.0,60.0,65.0,67.0,64.0,67.0,69.0,69.0,67.0,65.0,67.0,69.0,67,65,65
chant_006774,1,F-Pn lat. 12044,,,,,,,,69.0,69.0,67.0,65.0,67.0,69,67,65,62.0,60.0,65.0,67.0,65.0,67.0,69.0,69.0,67.0,65.0,67.0,69.0,67,64,65
chant_006783,1,F-Pn lat. 15181,,,,,,,,,69.0,69.0,67.0,65.0,67,69,67,62.0,60.0,65.0,67.0,65.0,67.0,69.0,69.0,67.0,67.0,65.0,67.0,69,67,65
chant_006793,3,NL-Uu 406,64.0,64.0,62.0,67.0,69.0,69.0,72.0,72.0,72.0,71.0,72.0,74.0,72,71,69,64.0,64.0,62.0,67.0,69.0,69.0,72.0,72.0,72.0,71.0,72.0,74.0,72,71,69
chant_006866,1,F-Pn lat. 12044,,,,,,,,,69.0,69.0,67.0,65.0,67,69,67,62.0,62.0,62.0,60.0,65.0,67.0,65.0,67.0,69.0,69.0,67.0,67.0,65,67,69
chant_006979,3,NL-Uu 406,,,,,,,,,72.0,72.0,72.0,69.0,72,69,67,64.0,65.0,62.0,67.0,69.0,72.0,72.0,71.0,72.0,74.0,72.0,71.0,69,72,67
chant_007001,1,F-Pn lat. 12044,,,,,,,,,69.0,69.0,67.0,65.0,67,69,67,65.0,60.0,62.0,62.0,69.0,70.0,69.0,69.0,69.0,69.0,69.0,69.0,67,69,71
chant_007126,8,CH-Fco 2,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,67.0,65.0,62.0,64.0,65.0,67.0,69.0,69.0,67.0,67.0,67.0,69,69,67
chant_007135,8,F-Pn lat. 12044,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,67.0,65.0,62.0,64.0,65.0,67.0,69.0,69.0,67.0,67.0,69.0,67,69,67
chant_007281,3,F-Pn lat. 12044,,,,,,,,72.0,72.0,72.0,71.0,69.0,71,69,67,67.0,67.0,69.0,64.0,62.0,67.0,69.0,72.0,72.0,71.0,69.0,71.0,69,67,65
chant_007360,1,F-Pn lat. 12044,,,,,,,,69.0,69.0,67.0,65.0,67.0,67,65,64,62.0,62.0,60.0,62.0,65.0,62.0,65.0,67.0,69.0,70.0,69.0,67.0,65,64,62
chant_007409,7,CH-E 611,,,,,,,,,74.0,74.0,76.0,74.0,72,71,69,67.0,71.0,72.0,74.0,74.0,76.0,74.0,74.0,72.0,72.0,72.0,74.0,76,74,72
chant_007420,7,CH-Fco 2,,,,,,,,,74.0,74.0,76.0,74.0,72,71,69,67.0,71.0,72.0,74.0,74.0,76.0,74.0,72.0,72.0,71.0,72.0,74.0,76,74,72
chant_007440,7,CH-Fco 2,,,,,,,,,74.0,74.0,76.0,74.0,72,71,69,,,,67.0,71.0,72.0,74.0,76.0,74.0,72.0,69.0,71.0,69,67,67
chant_007461,7,F-Pn lat. 12044,,,,,,,,,74.0,74.0,76.0,74.0,72,71,69,67.0,71.0,72.0,74.0,74.0,76.0,74.0,72.0,72.0,71.0,72.0,74.0,76,74,72
chant_007632,4,CH-Fco 2,,,,,,,,,69.0,67.0,69.0,71.0,67,64,65,62.0,64.0,67.0,67.0,69.0,69.0,69.0,67.0,69.0,71.0,69.0,67.0,69,69,64
chant_008283,8,CH-E 611,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,67.0,67.0,72.0,69.0,67.0,65.0,67.0,69.0,67.0,65.0,67.0,67,72,72
chant_008316,8,F-Pn lat. 12044,,,,,,,,,72.0,72.0,71.0,72.0,69,67,69,65.0,65.0,67.0,67.0,69.0,67.0,67.0,67.0,67.0,69.0,67.0,69.0,71,69,65
chant_008319,8,NL-Uu 406,67.0,67.0,67.0,72.0,69.0,67.0,65.0,67.0,69.0,67.0,65.0,67.0,67,71,72,67.0,67.0,67.0,72.0,69.0,67.0,65.0,67.0,69.0,67.0,65.0,67.0,67,71,72
chant_008327,8,CH-Fco 2,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,67.0,67.0,72.0,69.0,67.0,65.0,67.0,69.0,67.0,65.0,67.0,67,67,69
chant_008725,4,F-Pn lat. 12044,,,,,,,69.0,67.0,69.0,71.0,69.0,67.0,65,64,64,65.0,65.0,64.0,62.0,64.0,64.0,64.0,67.0,65.0,65.0,64.0,62.0,60,60,62
chant_008772,1,US-Cai 1911.142b,,,,,,,,,69.0,69.0,67.0,65.0,67,69,67,62.0,65.0,67.0,65.0,64.0,62.0,60.0,62.0,65.0,67.0,69.0,65.0,64,65,67
chant_008774,1,US-Cai 1911.142b,,,,,,,,,69.0,69.0,67.0,65.0,67,69,67,62.0,69.0,71.0,69.0,67.0,69.0,67.0,65.0,64.0,62.0,64.0,65.0,64,62,60
chant_008826,1,F-Pn lat. 12044,,,,,,,69.0,69.0,67.0,65.0,67.0,67.0,65,64,62,62.0,65.0,62.0,60.0,65.0,67.0,65.0,67.0,69.0,69.0,65.0,69.0,67,65,67
chant_008873,1,F-Pn lat. 12044,,,,,,,69.0,69.0,67.0,65.0,67.0,67.0,65,64,62,60.0,62.0,62.0,69.0,70.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69,67,69
chant_008880,1,CH-E 611,,,,,,69.0,69.0,67.0,65.0,67.0,69.0,67.0,65,64,62,60.0,62.0,62.0,69.0,72.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69,69,69
chant_008883,1,NL-Uu 406,60.0,62.0,62.0,69.0,72.0,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69,69,67,60.0,62.0,62.0,69.0,72.0,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69,69,67
chant_008927,4,CH-E 611,,,,,,,,,,69.0,67.0,69.0,72,67,64,65.0,62.0,65.0,64.0,65.0,67.0,67.0,65.0,64.0,62.0,65.0,67.0,69,69,67
chant_008957,4,F-Pn lat. 12044,,,,,,,69.0,67.0,69.0,71.0,69.0,67.0,65,64,64,60.0,62.0,62.0,65.0,64.0,65.0,67.0,65.0,64.0,69.0,67.0,65.0,67,69,67
chant_009068,1,F-Pn lat. 12044,,,,,,,69.0,69.0,67.0,65.0,67.0,67.0,65,64,62,62.0,62.0,60.0,65.0,67.0,69.0,67.0,69.0,67.0,65.0,67.0,65.0,62,62,62
chant_009275,3,CH-Fco 2,,,,,,,,,72.0,72.0,72.0,69.0,72,71,69,67.0,67.0,67.0,67.0,72.0,69.0,67.0,72.0,71.0,69.0,72.0,71.0,74,74,72
chant_009278,3,CH-Fco 2,,,,,,,,,72.0,72.0,72.0,69.0,72,72,69,67.0,67.0,67.0,69.0,72.0,69.0,67.0,72.0,69.0,72.0,71.0,74.0,74,72,69
chant_009302,7,CH-E 611,,,,,,,,,74.0,74.0,76.0,74.0,72,71,69,67.0,67.0,67.0,71.0,72.0,69.0,67.0,71.0,72.0,69.0,72.0,72.0,74,74,72
chant_009324,3,A-Wn 1799**,,,,,,,,,72.0,72.0,72.0,69.0,72,71,69,67.0,67.0,67.0,72.0,72.0,69.0,67.0,72.0,72.0,69.0,72.0,71.0,74,74,72
chant_009369,8,F-Pn lat. 15181,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,67.0,67.0,72.0,72.0,69.0,67.0,72.0,69.0,72.0,72.0,71.0,74,74,72
chant_009381,3,A-Wn 1799**,,,,,,,,,72.0,72.0,72.0,69.0,72,71,69,67.0,67.0,67.0,72.0,72.0,69.0,67.0,72.0,72.0,69.0,72.0,71.0,74,74,72
chant_009410,3,D-KNd 1161,,,,,,,,,72.0,72.0,72.0,69.0,72,71,69,67.0,67.0,67.0,72.0,72.0,69.0,67.0,72.0,72.0,69.0,72.0,71.0,74,74,72
chant_009427,8,F-Pn lat. 12044,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,67.0,69.0,72.0,72.0,69.0,67.0,72.0,72.0,69.0,72.0,72.0,71,74,74
chant_009452,8,F-Pn lat. 12044,,,,,,,,,,72.0,72.0,71.0,72,69,67,67.0,67.0,69.0,72.0,72.0,69.0,67.0,72.0,72.0,69.0,72.0,72.0,71,74,74
chant_009493,3,CDN-Hsmu M2149.L4,,,,,,,,,72.0,72.0,72.0,69.0,72,71,69,67.0,67.0,67.0,72.0,72.0,69.0,67.0,72.0,72.0,69.0,72.0,71.0,74,74,72
chant_009549,1,A-Wn 1799**,,,,,,,,,69.0,69.0,67.0,65.0,67,69,67,60.0,62.0,65.0,67.0,65.0,64.0,62.0,62.0,62.0,65.0,64.0,62.0,60,65,67
chant_009554,1,CH-E 611,,,,,,,,69.0,69.0,69.0,67.0,65.0,67,69,67,62.0,65.0,67.0,65.0,64.0,62.0,62.0,62.0,62.0,65.0,62.0,60.0,65,67,69
chant_009555,1,F-Pn lat. 12044,,,,,,,,69.0,69.0,67.0,65.0,67.0,67,65,64,60.0,62.0,65.0,67.0,65.0,64.0,62.0,62.0,62.0,65.0,62.0,60.0,65,67,69
chant_009631,5,CH-E 611,,,,,,,,,,72.0,72.0,74.0,70,72,69,65.0,67.0,67.0,72.0,72.0,72.0,72.0,74.0,72.0,71.0,74.0,74.0,76,72,69
chant_009632,5,F-Pn lat. 12044,,,,,,,,,,72.0,72.0,74.0,71,72,69,65.0,69.0,72.0,72.0,71.0,72.0,74.0,72.0,71.0,74.0,74.0,76.0,72,71,72
chant_009635,5,A-Wn 1799**,,,,,,,,,,72.0,72.0,74.0,71,72,69,65.0,69.0,72.0,72.0,72.0,72.0,74.0,72.0,71.0,74.0,76.0,72.0,71,72,72
chant_009638,5,CH-Fco 2,,,,,,,,,,72.0,72.0,74.0,71,72,69,65.0,69.0,72.0,72.0,72.0,74.0,74.0,72.0,74.0,74.0,76.0,72.0,72,72,74
chant_009644,5,I-Ac 693,,,,,,,,,,72.0,72.0,74.0,71,72,69,65.0,69.0,72.0,72.0,72.0,74.0,74.0,72.0,74.0,74.0,76.0,72.0,72,72,74
